Rank,Country,Download Speed (Mbps)
1,Singapore,284.05
2,Hong Kong (SAR),271.29
3,Chile,270.19
4,United Arab Emirates,266.36
5,Iceland,253.89
6,United States,249.86
7,France,243.47
8,Thailand,232.30
9,Denmark,230.25
10,China,225.32
11,Spain,218.84
12,Monaco,216.52
13,Romania,211.81
14,Switzerland,204.92
15,Israel,199.21
16,Canada,198.17
17,Japan,197.01
18,Netherlands,190.96
19,Andorra,189.65
20,Liechtenstein,188.53
21,Portugal,180.49
22,Taiwan,178.82
23,Hungary,178.73
24,New Zealand,175.06
25,Kuwait,169.29
26,Brazil,161.72
27,Macau (SAR),159.94
28,Sweden,157.12
29,Poland,156.44
30,Qatar,153.64
31,Panama,151.79
32,Uruguay,149.42
33,Colombia,147.21
34,Luxembourg,145.24
35,Jordan,144.19
36,Peru,143.35
37,Norway,141.67
38,Malaysia,137.12
39,South Korea,133.71
40,Moldova,129.01
41,Finland,121.91
42,Trinidad and Tobago,120.46
43,Vietnam,120.32
44,Lithuania,119.10
45,Ireland,116.73
46,Malta,115.95
47,Saint Lucia,111.10
48,Saudi Arabia,110.04
49,United Kingdom,106.54
50,Belgium,99.33
51,Austria,98.43
52,San Marino,95.50
53,Barbados,94.68
54,Philippines,94.19
55,Saint Vincent and the Grenadines,94.17
56,Slovenia,93.75
57,Costa Rica,93.62
58,Ecuador,93.39
59,Latvia,93.22
60,Germany,91.42
61,Paraguay,90.85
62,Grenada,89.17
63,Dominica,88.66
64,Cyprus,88.08
65,Estonia,88.06
66,Russia,87.73
67,Bahrain,86.49
68,Slovakia,85.47
69,Argentina,84.20
70,Montenegro,83.34
71,Bulgaria,83.14
72,Serbia,83.11
73,Italy,81.88
74,Brunei,80.13
75,Guyana,79.75
76,Ukraine,79.48
77,Jamaica,77.27
78,Egypt,76.86
79,Kosovo,72.31
80,Czechia,71.09
81,Oman,70.96
82,Mongolia,70.91
83,C̫te d'Ivoire,69.50
84,Croatia,69.24
85,Mexico,66.71
86,The Bahamas,66.58
87,Palestine,66.47
88,Nepal,65.84
89,Uzbekistan,64.50
90,India,64.45
91,Belarus,63.45
92,Australia,63.38
93,Saint Kitts and Nevis,63.08
94,Albania,61.97
95,Kyrgyzstan,61.80
96,Armenia,54.95
97,Nicaragua,53.09
98,El Salvador,52.53
99,Kazakhstan,51.83
100,Mauritius,51.68
101,Guatemala,50.95
102,Greece,50.52
103,Venezuela,48.77
104,South Africa,47.30
105,Belize,46.52
106,Bangladesh,46.52
107,Honduras,45.54
108,Cambodia,45.22
109,North Macedonia,44.70
110,Burkina Faso,43.55
111,Seychelles,43.25
112,Congo,42.22
113,Turkey,41.51
114,Gabon,40.95
115,DR Congo,39.83
116,Azerbaijan,39.24
117,Antigua and Barbuda,38.96
118,Ghana,37.07
119,Laos,35.93
120,Iraq,34.85
121,Haiti,34.41
122,Dominican Republic,34.12
123,Bolivia,32.71
124,Bosnia and Herzegovina,31.88
125,Morocco,31.15
126,Indonesia,30.22
127,Rwanda,29.96
128,Togo,29.66
129,Tajikistan,28.89
130,Georgia,27.14
131,Madagascar,26.77
132,Lesotho,26.17
133,Mauritania,24.97
134,Western Sahara,24.79
135,Benin,24.05
136,Mali,22.85
137,Sierra Leone,22.84
138,Sri Lanka,22.51
139,Senegal,22.51
140,Nigeria,21.76
141,Myanmar (Burma),20.81
142,Zambia,19.72
143,Angola,19.53
144,Malawi,19.16
145,Fiji,18.55
146,Tanzania,18.47
147,Djibouti,16.82
148,Swaziland,16.13
149,Cape Verde,15.74
150,Mozambique,15.59
151,Lebanon,15.40
152,Somalia,15.32
153,Pakistan,14.85
154,Algeria,14.44
155,Sudan,14.33
156,Iran,14.23
157,Zimbabwe,14.04
158,Namibia,13.77
159,Uganda,13.64
160,Bhutan,13.45
161,Maldives,13.07
162,Papua New Guinea,12.15
163,Vanuatu,11.80
164,Suriname,11.74
165,Libya,11.16
166,Kenya,10.58
167,Guinea,10.38
168,Cameroon,10.18
169,Tunisia,9.73
170,Liberia,9.25
171,Ethiopia,8.80
172,Niger,8.53
173,Botswana,8.21
174,The Gambia,7.46
175,Burundi,7.05
176,Yemen,7.01
177,Turkmenistan,6.55
178,East Timor,6.23
179,Syria,4.51
180,Afghanistan,3.44
181,Cuba,2.95
